token_type,token_address,receiver,amount,id
erc20,0x4200000000000000000000000000000000000042,0xdd3bC8DCd86695E36e61A820b8E7cDC258E213e7,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x2Bc9f9932ce5a1d4b5b4D28f0e3EDe7fE5D3372C,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xF2f3d01b47c21a2339f3A508531DA76A9380dCd7,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x60fB4B046b07cE529fb93598286339873d26DD0C,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x12cc270Bb2136c772B7e28868D7782Aa62827229,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x658191594cdA88744d8158813029420dcf137A32,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x4F49C34759B7e888cE77de9dd34FEC63d63495CC,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x640619Af8b2820E0b1F7eac15D0b769A78225715,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x6DaC996E32cEBcA0afa8Fc701C5eF65088a90947,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xa9811f9f6B8bCA7f9F91f850A98310e63FBB7326,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xbF49B454818783D12Bf4f3375ff17C59015e66Cb,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x6C9919762FD9a8d99e8123F7dDB55c82F53AAB0f,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xb93AeC1fA537c57EC77f513E6aaB97c2059E4f8F,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xd84D7BDc4b79171917C81ddBB22A01139EB4cd84,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xC4aD551C74e6f21d604A303626277F7a7ecfdB7A,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xA0efD27acC781549D5b78e89E561AA0903932d56,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xD08c3C698C25B3cC25B6d9BB7a9224070679B04b,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x1F44Bcd464fA5BfFA4b759E605EFA18bB313bf35,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xB69e74324bc030F1B5409236EFA461496D439116,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x903D7cca2C906992a3580A274431F1c8C718e987,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x4c5f4f9dF7968B0DB448526162114a04F3462bad,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xd6649265Cd93342Cd0912D3Cb717Ea44073c64Ac,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x83CA6e16db349f9E815509a3d3E99d9e8c758b3B,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x7894b2fbb044a969EA22cBDB283c7DB9E06d3B66,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xF31d75e05d75D145BeeC47bC2447b823c5fF45B5,26.4550,
erc20,0x4200000000000000000000000000000000000042,0xEA5Bb9279C3e5aeEd8c82aa2B922300dEA237740,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x761C9c5A71F45a843263070eBEdE70ec1641D59d,26.4550,
erc20,0x4200000000000000000000000000000000000042,0x239F6c4B83904aC0FB837Cb3a7aec6BeE5c8540A,26.4550,
